,text,date,author,author_level,mark,museum,avg_mark,num_reviews
10,"Был в данном ""прекрасном"" месте два раза и уже в очередной раз сдерживал некоторые рвотные позывы от похождений по заведению. Магазин, быть может, неплохой. Персонал вне контекста экспозиции прекрасен, все вежливы и культурны, хоть и не понимают, на что подписались. Стоять весь день и наблюдать за смысловыми огрызками очень сложно. Только пара произведений заслуживают хоть какого-то беглого взгляда, в остальном чистейший треш. Для современного искусства слишком устаревшие виды, форматы, абсолютно всеобъемлющая атмосфера смешной претензии без попытки её хоть как-то реализовать, в который раз. Сами составители экспозиции очень непоследовательны и совершают очень грязные и тухлые привязки, не позволяющие даже немного погрузиться в форматы. Произведение, хранящее в названии имя великого деда фашиста Хайдегерра оскорбляет самого старика гораздо больше летучей клички. Для постмодерна слишком плоско, сухо, неорганично. Для дальнейших парадигм, которые вымирают в день из появления слишком старо и попсово. Советую держателям выставки меньше стесняться и больше экспериментировать, рисковать, а не теплиться в бреду претензии. В ином случае ""Гараж"" не заслуживает названия ""музей"" и в особенности он бесконечно далек от современного искусства. Из-за таких мест оно уже давно мертво, но некоторые пинают этот труп, как гараж. Жаль, что я не могу сказать ""Оно живое!"", хотя и наивно даю шансы подобными походами
ещё",27 сентября 2020,Makar Kungurov,Знаток города 7 уровня,3,музей Гараж,"4,5",1061
11,"Цена входного билета 500 рублей. 
Выставки, которые здесь проходят, я не понимаю (современное искусство всё же),
Но здание и атмосфера здесь приятные. 
Раз в полгода-год для разнообразия посетить можно.",1 ноября 2020,Лиля Иванова,Знаток города 12 уровня,4,музей Гараж,"4,5",1061
12,"Были на беннеле немного мрачновато, но в целом круто. Персонал вежливый, ресторанчик на первом этаже всегда занят, но там прикольно. Приятная атмосфера",10 октября 2020,AngelinaStrugova,Знаток города 7 уровня,5,музей Гараж,"4,5",1061
13,"Прекрасный музей современного искусства! Хорошая выставка и приятный персонал. Оригинальный выбор книг в библиотеке/книжном. После можно хорошо провести время в кафе внизу. Недорого и вкусно. Музей находится в парке, что очень удобно. После выставки можно прогуляться в красивом месте. Классно! Очень понравилось!",12 августа 2020,Мария Быкова,Знаток города 2 уровня,5,музей Гараж,"4,5",1061
14,"Отмечу как сам музей с разнообразием актуальных экспозиций, так и кафе с интересным и вкусным меню, где можно поболтать, поработать и даже что-то отпраздновать) Бенедикт тут one love!",9 ноября 2020,Victoria Z,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
15,"Здесь всегда очень разные выставки, разного качества. Но если оценивать институцию в целом - респект им. Начиная от продуманности в архитектурном плане (внешний вид знания, интерьеры, туалеты и разные мелочи, вроде номерков в гардеробе) заканчивая отличным персоналом. Всегда приятно прийти, даже охранники на входе не слишком отталкивают.
ещё",20 сентября 2020,Натали,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
16,"мое любимое место в Москве. могу провести там весь единственный выходной - каждый раз открываю для себя что-то новое. всем, кто еще не был, советую сходить! публичные программы тоже отличные. всегда можно пообщаться с персоналом и даже с художниками!",16 марта,Елена Воробьева,Знаток города 3 уровня,5,музей Гараж,"4,5",1061
17,"Очень интересное место, всем рекомендую! Цены в местном кафе высокие, мы купили только бутылочку воды. Смотрели кино, кинотеатр летний , замерзли, хоть и дали пледы, а так очень всё понравилось.",27 сентября 2020,"ООО ""Стартех""",Знаток города 6 уровня,5,музей Гараж,"4,5",1061
18,"Это просто "" вау"" - это мое 2е посещение галереи, и я в не меньшем восторге от данного места, всё такое необычное и современное, чувствуется и идея и целостность и здания и содержания. Выставки всегда наполнены смыслом и взрывной фантазией раскрывающей платформу для воображения и сюжетно-следственного повествования.",18 ноября 2020,Darya*,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
19,"Прекрасная экспозиция, всё очень понравилось, обязательно порекомендую друзьям. Отдельное спасибо сотрудница гардероба Нине Александровна и Полине. Прошу поощрить этих сотрудниц.",10 октября 2020,Роман,Знаток города 7 уровня,5,музей Гараж,"4,5",1061
20,"Красивое место, гуляя по парку Горького, как будто оказалась в Германии, очень чисто и стильно.

Но сами выставки мне не зашли, хотя были интересные экспонаты.",5 ноября 2020,Кусь К.,Знаток города 6 уровня,4,музей Гараж,"4,5",1061
21,"Впечатление о выставке испортил персонал. При в ходе нет информационной стойки с подробным описанием правил пространства. Как итог ходишь и вместо погружения в искусство ждёшь, когда тебе сделают замечания.

Сначала я зашла с"" выхода"", и меня естественно развернули и сделали замечания. Не понимаю, почему нельзя было повесить табличку ""выход/вход"", чтобы избежать конфузов? 

После на втором этаже мне сказали, что нельзя с рюкзаком и нужно спуститься обратно в гардероб (во второй раз отстоять очередь) и сдать его, либо же носить рюкзак перед собой... 

Спустя ещё 10 минут мне сделали замечание, что я недостаточно перед собой ношу рюкзак...

Так же в темной комнате на меня налетел смотритель, испугав меня и крича, что с экспонатами нельзя взаимодействовать. Хотя в такой же комнате ""до"" взаимодействовать с экспонатами было НУЖНО 

Не советую к посещению, если в ваши планы не входит приобретение седых волос
ещё",23 февраля,Ольга С.,Знаток города 2 уровня,1,музей Гараж,"4,5",1061
22,"Была на выставке «Красивая ночь всех людей». Ничего не могу сказать о выставке, поскольку во время ее просмотра, обращаешь внимание только на персонал, который стоит на каждом углу, пристально караулит и наблюдает за тобой. Там такое небольшое пространство, а персонала человек 40. Такого отношения не встречала ни на одной выставке в России или в Европе. Т.е. администрация музея позволяет себе считать своих посетителей потенциальными ворами и вандалами. Также отвратительная охрана, которая проверит тебя куда покруче, чем в аэропорту. Модное пространство с отвратительным персоналом.
ещё",17 февраля,natalie ivans,Знаток города 3 уровня,1,музей Гараж,"4,5",1061
23,"Всегда безупречные выставки. Всегда безупречная еда в кафе. Подборка книг - отличная. Ну что сказать - таких мест в Москве не хватает, их должно быть больше. Хочется, чтобы Дарья Жукова и её команда делала больше таких проектов ❤️",29 ноября 2020,Александра Новохацкая,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
24,"Лучшие музей современного искусства. Крутая экмпозиция, раз в 4 года меняющаяся, крутая литература в магазине, вкусный кофе и еда в кафе.",2 ноября 2020,Shugor.design,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
25,"Впечатляет. Неожиданно организовано пространство, стильно, очень много воздуха. 
Не могу назвать себя знатоком современного искусства, и уж точно не разбираюсь в постмодернистских философских течения, но равнодушным не оставляет точно. Была на выставке ""Мы храним наши белые сны"" посвящённой последователям антропософии. И подбор экспонатов и экспозиционное решение, и прекрасные экскурсоводы - все на очень высоком уровне.
Насколько я поняла, в течение дня можно попасть на различные перфомансы в общей стилистике экспозиции. Не попала, ничего сказать по этому поводу не могу. Посетителей много, полно молодёжи.
В целом, думаю, сюда я ещё вернусь. Прямо открытие года для меня)
ещё",6 февраля 2020,Ольга С.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
26,"Все очень хвалили, ждала с нетерпением когда вырвемся всей семьёй... Не впечатлило. Наверное потому что мне нравятся более классические музеи, например, пушкинский. По мне очень на любителя... Может мы на такую выставку попали, что нам не хочеться больше трать время и приходить ещё)",9 октября 2020,Имран,Знаток города 4 уровня,4,музей Гараж,"4,5",1061
27,"Современный музей. Хороший кофе в кофейне. Крутой книжный магазин. А вот еда в заведение при музее не понравилась, ну тут на вкус и цвет.",19 марта,Виктория И.,Знаток города 6 уровня,4,музей Гараж,"4,5",1061
28,"Что сказать, современное искусство - это современное искусство. Там бывают интересные фильмы, уютный небольшой зал, рекомендую для посещения.",14 марта,Александр С.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
29,"Был на выставке ""Красивая ночь всех людей""- ничего не понятно, но очень интересно!) Сотрудники СБ внимательны и любезны. Рекомендую Гараж для посещения всей семьей!",2 ноября 2020,Максим Фомин,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
30,"В сравнении с иностранными аналогами музей очень маленький, пройти все экспозиции можно за 10-20 минут, проход на крышу только для владельцев специальных карт гараж. Честно говоря, ожидал большего",27 сентября 2020,Ali Movsumov,Знаток города 11 уровня,3,музей Гараж,"4,5",1061
31,"Очень интересные выставки, для посещения всей семьей, только смотрите на возрастное ограничение. Есть туалет, можно перекусить там же. Магазин с разными товарами для подарков: книги, открытки, картины и другое. Есть свой мерч гаража.",18 августа 2020,Игорь Старицын,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
32,"Музей ""Гараж"" прекрасен! Совместить поход в него можно с прогулкой по парку Горького. Удобно добраться метро! В самом музее всегда есть альтернативные активности - лекции, кинопросмотры, встречи и пр. Особо - для особых людей много всего - инвалиды и дети-инвалиды. Им там удобно! Отличный гардероб! Отличное кафе
. Отличный книжный магазин!
ещё",11 января 2020,Владимир Степаненко,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
33,Один из самых любимых музеев Москвы. Стараюсь посетить его каждый раз как бываю в столице. Интереснейшие выставки. Ещё очень нравится книжный магазин где собраны очень занимательные экземпляры книг которые и сами могут быть объектами коллекционирования,20 мая 2020,Михаил Р.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
34,"Своеобразный музей. Я думаю, что хотя бы разок его следует посетить всем. Действительно современное здание, напичканное всеми элементами современной музейной электроники.
Удобно пройти от метро ""Парк Культуры"" и потом недолго по территории парка Горького. Очень светлый, какое-то ощущение легкости.
Про содержание. Это современное искусство, поэтому экспонаты очень неоднородны, что-то уже сейчас воспринимается как шедевр, что-то ""страходила"", что-то вообще непонятное, то ли это экспонат, то ли подставка под него, а сам объект куда-то унесли. Но это тот момент, когда ""на вкус и цвет..."".
Гиды чаще всего из организаторов той или иной выставки - доброжелательные, очень отзывчивые, но общий уровень знаний сильно разнится. С другой стороны это не профиэкскурсоводы по музеям со сложившимися коллекциями.
Зайдите, по мне, не пожалеете
ещё",31 октября 2019,Василий Мовчун,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
35,"Один из любимейших музеев Москвы! Выставки всегда очень интересные! Есть магазин, в котором очень много разных сувениров, книг и пр. Есть кафе. Также здесь есть возможность передать свои ненужные вещи нуждающимся семьям.",22 апреля 2020,Леонид Жуков,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
36,"Вкусная и оргиналная кухня. Понравилась азиатсякая похлёбка и хумус. 

Хороший выбор интересных книг. Приобрел одну из эстатичских соображений.",19 января,Зуфар Амерханов,Знаток города 12 уровня,4,музей Гараж,"4,5",1061
37,"Не понравилось. не интересные инстоляции, много изврата. Это не искусство. Я, конечно, не рассчитывала там увидеть прекрасные работы, но по факту увидела только детскую мазню, которую каждый может нарисовать. Я сама деятель искусства и свои работы делаю необычными, но они сложные и со смыслом. К сожалению музей сильно разочаровал. Шли с мамой туда хотябы поднять себе настроение, на деле разочаровались и там даже не над чем пошутить, или не чего посмотреть с разных сторон. Пошлость, безвкусие и наплевательское отношение.
Работники хорошие, к персоналу претензий нет. 
мои работы можете посмотреть тут Lisilien_art (искусство, которое могло бы стоять в музее и радовать глаз) или Lisilien_Fox (грим, макияж)
ещё",8 июля 2020,Виктория Востротина,Знаток города 8 уровня,1,музей Гараж,"4,5",1061
38,"Любимый музей! Всегда интересные выставки! Всегда хожу по несколько раз на одну и ту же выставку, цепляет очень, за один раз сложно воспринять всё",1 марта,Елизавета Гренкова,Знаток города 11 уровня,5,музей Гараж,"4,5",1061
39,"Просторный современный музей. Пространство соответствует статусу. Экспозиция подобрана гармонично . Но двумя жирными звёздами пришлось снизить балл - сотрудники музей вызвали самое неприятное ощущение. С каждого угла выглядывают, будто церберы . И чем дальше проходишь по задам, тем больше складывается впечатление, что пришел в музей исключительно, чтобы портить экспонаты. И это идёт не изнутри, а навечно надсмотрщиками-сотрудниками. Какое-то тотальное недоверие к посетителям. Омрачило визит существенно .
ещё",12 июля 2020,Eлена Жекова,Знаток города 6 уровня,3,музей Гараж,"4,5",1061
40,"Выставки к сожалению не посетили, но все впереди. На 1 этаже прекрасное кафе, очень вкусно и подача очень красивая.",15 февраля,Eva Murr,Знаток города 9 уровня,5,музей Гараж,"4,5",1061
41,"Посещал данный музей. Атмосфера понравилась. Что написать про современное искусство...есть моменты, которые не укладываются в сознании...но искусство каждый воспринимает по своему...очень запомнилось оформление зон в стиле ретро-телевизоров. По ним ""крутили"" какие-то диковинные документальные фильмы С.С.С.Р из заграничные, любительские авторские фильмы советские, андеграундные, которые ""взрывают мозг"" в хорошем смысле. Запоминающийся и интересный музей и экспозиции в нем.
ещё",30 марта 2020,Е.С.,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
42,"С точки зрения архитектуры очень красивое знание музея, есть кафе с вкусной едой, летней верандой, магазин сувениров, рядом с музеем находится летний кинотеатр.",3 июля 2020,Аня К.,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
43,"Приходите сюда за сложным, неоднозначным, современным искусством. Красивое, современное здание, соответствующий внешнему облику интерьер, замечательный лекционный зал, богатый книжный магазин.",27 июля 2020,Alex,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
44,"Не понравилось от слова совсем. Я не смогла увидеть искусства в находящихся там инсталляциях, просто есть вещь (вещи) которые (кто то) видит (так) и длинный нудный текст , в котором смысла найти невозможно... 
Очень нудно, не красиво , не интересно",28 января,Екатерина Н.,Знаток города 4 уровня,1,музей Гараж,"4,5",1061
45,"Плохо: 
 1) цена за экспозиции сильно завышена.
 2) внешний фасад из очень неприятного пластика. 
 3) в кафе невкусно и очень дорого.

Хорошо: 
 1) популярные экспозиции, хорошее оформление, почти умная организация выставок, но больше «красота и стиль» волнует конечно.
ещё",9 октября 2020,Литвак,Знаток города 10 уровня,3,музей Гараж,"4,5",1061
46,"Очень классный музей! В нем есть книжный магазин с большим ассортиментом книг про искусство и не только. Также классный ресторан, но столик нужно бронировать))))",23 сентября 2020,Лиза Острогорская,Знаток города 5 уровня,5,музей Гараж,"4,5",1061
47,"Ультра современное место, но не для всех) И это радует. Концептуальное современное искусство, ориентированное на, скажем так, продвинутых пользователей современности) Последнее время выставки и экспозиции посвящены экологическим проблемам. Интересные лекции в отдельном, соседнем здании музея. Понравилась летняя экспозиция с аудио-визуальным рядом от японца Рёдзи Икеды, а так же лекция Сюзан Шуппли об экологических проблемах нашей планеты. Место с европейскими трендами
ещё",14 ноября 2019,voshodyashiyTrend,Знаток города 12 уровня,5,музей Гараж,"4,5",1061
48,"Интересные инсталляции, хорошо организованная экспозиция, освещение интерьер все прекрасно создает атмосферу современного музея. Мне очень понравился аттракцион, который был в октябре 2019, выставка была посвящена проблемам экологии. На первом этаже есть кафешка с браной стойкой, где готовят прекрасный кофе. Персонал музея отзывчив и его вполне достаточно на такой большой площади, ненужно никого искать.
ещё",9 июля 2020,Андрей,Знаток города 7 уровня,5,музей Гараж,"4,5",1061
49,"Была два раза на выставке, все продумано до мелочей, очень просторно и грамотно расставлено",11 февраля,Евгения,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
50,"Мини выставочный центр. Есть и магазинчик с мелочами и книгами, и где перекусить. Неплохое место!",15 ноября 2020,Zver-G,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
51,"Лучший музей совриска в РФ, хорошие экспозиции, отличный магазин, прекрасное кафе)",7 октября 2020,Егор Двинянин,Знаток города 13 уровня,5,музей Гараж,"4,5",1061
52,"Супер музей! Бывают действительно качественней выставки. Много активностей и лекций. Летний кинотеатр и выход на крышу, но он только для членов музея. Рекомендую приобрести себе членство. Есть разные планы и тарифы. Но зато много ништяков",16 января 2020,"А, КУДА?",Знаток города 11 уровня,5,музей Гараж,"4,5",1061
53,"Интересные выставки современного искусства, расположение в парке горького, где после обхода выставок можно приятно погулять. Вежливый персонал, приятный контингент. Ходим туда постоянно. Местное кафе правда очень дорогое и не сказать, что особо вкусное. Разве что кофе попить.",3 октября 2019,Джулий Сергей,Знаток города 8 уровня,5,музей Гараж,"4,5",1061
54,"Отдельный респект ресторану Гаража - какого алкоголя там только нет! И смешать его могут с чем угодно, и посоветуют, с чем лучше смешать - в том числе и редкие ликеры.",12 марта,Александра К.,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
55,Лучший музей в городе с интересными экспозициями. Великолепная летняя веранда и вкусная еда в кафе. Отличный книжный магазин при музее.,9 августа 2020,Dina L.,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
56,"Современное арт-пространство с выставками на интересные и актуальные для настоящего времени темами. очень рекомендую следить за активностью данного места, потому что можно наткнуться на достаточно интересные мероприятия.
Итог: советую всем)",23 февраля 2020,Егор Кронштатов,Знаток города 6 уровня,5,музей Гараж,"4,5",1061
57,"Отличное место, понравилось устройство музея, оформление и проводимые выставки, сильно интересней прочих, посвященных современному искусству. Есть свое кафе и книжный магазинчик, где можно найти книги по разным областям искусства.",21 сентября 2019,phediner,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
58,"Музей хороший, интересные выставки. Очень красивые работники музея, постоянно ловлю би панику.",28 февраля,Маша Поребрик,Знаток города 4 уровня,5,музей Гараж,"4,5",1061
59,"Хорошое атмосферное место, выставки, кофе, книжный магазин, люблю приходить сюда одна",17 ноября 2020,Evgenia Bazova-Sharecords,Знаток города 10 уровня,5,музей Гараж,"4,5",1061
60,"Это музей современного искусства, находящийся в ЦПКиО и унаследовавший название от прежнего места обитания, Бахметьевского гаража, построенного в 1926-27г. по проекту Мельникова и Шухова. В старое здание я ездила с большим удовольствием, потому что оно интересно само по себе. Сейчас в нем Еврейский музей и центр толерантности, где бывают весьма интересные выставки. 
У нового Гаража есть одно преимущество: можно и выставки посмотреть, и погулять в парке. В пятницу, а пенсионерам в любой день посещение бесплатное. Удовольствие зависит от качества выставок. Есть неплохое кафе и книжно-сувенирный магазин.
ещё",8 февраля 2020,Наталья Иващенко,Знаток города 5 уровня,4,музей Гараж,"4,5",1061
61,Не только ради выставки. Отличный выбор книг в магазине и лучшее музейное кафе в Москве,17 октября 2020,Alexander Zaks,Знаток города 8 уровня,4,музей Гараж,"4,5",1061
62,Ну так себе место... от случая к случаю. Цены в кафе дорогие. Входной билет стандартный. Выставки иногда зашкаливают арт хаусность... и иногда просто ужас!,15 февраля,козлов паша,Знаток города 19 уровня,3,музей Гараж,"4,5",1061
